Name,Profile,Permalink,Caption,Type,Date,Engagement,Engagement Ratio vs Average,Engagement Rate,Comments,Comments Ratio vs Average,Likes,Likes Ratio vs Average,Campaigns,Estimated Reach,Estimated Impressions
gucci,https://www.instagram.com/gucci,https://www.instagram.com/p/Cq20Yfxs6IU/,On stage during his ‘Love on Tour’ performances in Bangkok and Singapore Harry Styles is captured wearing custom Gucci. #HarryStyles,CAROUSEL_ALBUM,2023-04-10 09:00 AM,373583,3.2,0.71459,427,-0.34,373156,3.22,,4774309,5251740,
gucci,https://www.instagram.com/gucci,https://www.instagram.com/p/CruQCwhI2tj/,Halle Bailey in a custom Gucci sequin-embroidered gown and ruffle coat captured moments before the Met Gala.#MetGala #MetGala2023 #HalleBailey,IMAGE,2023-05-01 09:40 PM,367756,3.13,0.70345,907,0.38,366849,3.15,,7285081,8013589,
gucci,https://www.instagram.com/gucci,https://www.instagram.com/p/Cq5aWGtMKoW/,In custom Gucci Harry Styles is captured on stage during his ‘Love on Tour’ show in Melbourne.#HarryStyles,CAROUSEL_ALBUM,2023-04-11 09:10 AM,337728,2.79,0.64601,434,-0.33,337294,2.82,,4735992,5209591,
gucci,https://www.instagram.com/gucci,https://www.instagram.com/p/Cq0PiClsB11/,Harry Styles wears custom Gucci looks during his ‘Love on Tour’ concerts around the world. #HarryStyles,CAROUSEL_ALBUM,2023-04-09 09:00 AM,332682,2.74,0.63793,498,-0.23,332184,2.76,,4809536,5290490,
gucci,https://www.instagram.com/gucci,https://www.instagram.com/p/Crub1RqIQ4c/,Daisy Edgar-Jones in a custom Gucci embroidered look moments before the Met Gala.#MetGala #MetGala2023 #DaisyEdgarJones,IMAGE,2023-05-01 11:23 PM,329460,2.7,0.6302,814,0.24,328646,2.72,,6815675,7497242,
gucci,https://www.instagram.com/gucci,https://www.instagram.com/p/CsGo8xAs5nw/,The House is delighted to announce its newest Global Ambassador Alia Bhatt: “I’m honored to represent the house of Gucci not only in India but at a global stage. Gucci’s legacy has always inspired and intrigued me and I’m looking forward to the many sartorial milestones we create together.” ⁣⁣#AliaBhatt,IMAGE,2023-05-11 09:00 AM,311568,2.5,0.59597,1130,0.72,310438,2.51,,6731405,7404545,
gucci,https://www.instagram.com/gucci,https://www.instagram.com/p/Crk43qfMuXe/,Gucci Cosmos begins with luggage just as the House did in 1921. Global Brand Ambassador Xiao Zhan enters into the story within the room of Portals where historic and contemporary suitcases revolve around the personas that have helped construct the aura of the House. Discover more at the link in bio.#GucciCosmos #XiaoZhan,CAROUSEL_ALBUM,2023-04-28 06:25 AM,290653,2.27,0.55596,5912,8.04,284741,2.22,,6880389,7568427,
gucci,https://www.instagram.com/gucci,https://www.instagram.com/p/C1hma8OC7NS/,Love love love. Celebrating encounters full of emotion with Gucci Gift. #GucciGift,IMAGE,2023-12-31 12:00 PM,289092,2.25,0.5519,30943,46.34,258149,1.92,,1496880,1646568,
gucci,https://www.instagram.com/gucci,https://www.instagram.com/reel/Cyu9pqXMWPu/,Xiao Zhan meets Horsebit 1953.Creative Director: Sabato De SarnoArtistic Director: Riccardo ZanolaPhotographer: Feng LiGlobal Brand Ambassador Xiao Zhan for the Horsebit 1953 loafer campaign.#GucciHorsebit1953 #XiaoZhan,reel,2023-10-23 04:00 AM,265063,1.98,0.50603,8365,11.8,256698,1.9,,2454166,2699583,
gucci,https://www.instagram.com/gucci,https://www.instagram.com/p/CsZzGxVhLHS/,Global Brand Ambassador Hanni Dakota Johnson Global Ambassador Alia Bhatt Jay Park Davika Hoorne Mark Ronson Global Brand Ambassador Jungjae Lee Elizabeth Olsen and Global Brand Ambassador Jun Shison are captured at the Cruise 2024 fashion show in Seoul. #Hanni #DakotaJohnson #AliaBhatt #JayPark #DavikaHoorne #MarkRonson #JungjaeLee #ElizabethOlsen #JunShison #GucciCruise24,CAROUSEL_ALBUM,2023-05-18 07:34 PM,256274,1.88,0.4902,990,0.51,255284,1.89,,7950220,8745242,
