Name,Profile,Permalink,Caption,Type,Date,Engagement,Engagement Ratio vs Average,Engagement Rate,Comments,Comments Ratio vs Average,Likes,Likes Ratio vs Average,Campaigns,Estimated Reach,Estimated Impressions
asos,https://www.instagram.com/asos,https://www.instagram.com/reel/CrnXYNTMWTj/,On set we work hard and dance even harder! 💪🎶 #internationaldayofdance 💃 ASOS EDITION dress [115955096] As Seen on elliejg16_zebedeemodel,reel,2023-04-29 05:30 AM,20501,6.4,0.13844,174,1.77,20327,5.82,,38030,41833,
asos,https://www.instagram.com/asos,https://www.instagram.com/reel/Cvr0dcktFNk/,Mid-summer monochrome for vacay as demo’d by the beaut megan.carole [she/her] 🖤 😘ASOS EDITION broderie midi dress with puff sleeve in black [124346453],reel,2023-08-08 09:06 AM,20160,6.28,0.13613,197,2.13,19963,5.7,,34043,37447,
asos,https://www.instagram.com/asos,https://www.instagram.com/reel/C06OcJSs5-H/,Have a holly jolly holiday 💅❄️💚 amberjhnails [she/her]🔎 Search ‘nails’ on ASOS,reel,2023-12-16 05:00 AM,20029,6.23,0.13525,103,0.64,19926,5.68,,298046,327851,
asos,https://www.instagram.com/asos,https://www.instagram.com/p/CpubSKXgRi4/,As expected the #VanityFair 2023 Oscar Party looks did not disappoint 👏✨,CAROUSEL_ALBUM,2023-03-13 06:16 AM,19510,6.05,0.13174,121,0.92,19389,5.5,,33958,37354,
asos,https://www.instagram.com/asos,https://www.instagram.com/p/Cru--gAgq0E/,We’re calling it now the looks at this year’s Met Gala we’re PURR-FECT (iykyk) Which look is your fav 1-10? 👇,CAROUSEL_ALBUM,2023-05-02 04:30 AM,19376,6,0.13084,106,0.68,19270,5.46,,37277,41005,
asos,https://www.instagram.com/asos,https://www.instagram.com/reel/CtoRbUhtpJf/,Oopsy daisy we fell in love with another pair of Cons 🤩Converse Chuck Taylor All Star Lift hi trainers with flower embroidery [125493455],reel,2023-06-18 07:00 AM,18636,5.73,0.126,214,2.4,18422,5.18,,32288,35517,
asos,https://www.instagram.com/asos,https://www.instagram.com/reel/C0jsfJUpkbX/,vivianmariewong [she/her] is giving herself  the gift of good nails this year 💅🎁,reel,2023-12-07 11:00 AM,18116,5.54,0.12233,136,1.16,17980,5.03,,290418,319459,
asos,https://www.instagram.com/asos,https://www.instagram.com/reel/CvpO56Psg22/,The hack you didn’t know you needed 🤭😉NARS Orgasm Liquid Blush[1028640] As Snapped by stephh_romo [she/her],reel,2023-08-07 09:00 AM,17846,5.45,0.12051,359,4.71,17487,4.86,,34416,37857,
asos,https://www.instagram.com/asos,https://www.instagram.com/reel/CuzEGlto7rd/,Satisfying sneaker sounds 👟🔈Search New Balance 9060 on ASOS As Snapped By anvaniy [she/her]🔎 For similar in black and white [21833985],reel,2023-07-17 08:06 AM,17814,5.43,0.12029,146,1.32,17668,4.92,,36836,40520,
asos,https://www.instagram.com/asos,https://www.instagram.com/reel/C0cL1QFsrFu/,Bow mode ✨ON✨ with audreyannej [she/her] 🎀,reel,2023-12-04 01:00 PM,17162,5.2,0.11589,128,1.03,17034,4.71,,278437,306280,
asos,https://www.instagram.com/asos,https://www.instagram.com/reel/CryJdY-s4cz/,Feels likes sounds like looks like SUMMER 💛ASOS DESIGN beaded dress [coming soon],reel,2023-05-03 10:00 AM,16634,5.01,0.11232,195,2.1,16439,4.51,,34442,37886,
asos,https://www.instagram.com/asos,https://www.instagram.com/reel/CylvR0cOaal/,Look at the tangled web fredrikskoglundd [he/him] has weaved this Halloween 🕸️🕷️NYX Professional Makeup Epic Wear Metallic Liquid Liner [ 2013549] [SIMILAR],reel,2023-10-19 02:00 PM,16174,4.84,0.10922,152,1.42,16022,4.37,,32476,35724,
asos,https://www.instagram.com/asos,https://www.instagram.com/reel/CxfreGRsmfI/,Weekend mani secured 💫 abrowngirlrecommends [she/her]MYGEL by Mylee Gel Polish - Pastel Chic [500076863],reel,2023-09-22 09:00 AM,16002,4.78,0.10806,105,0.67,15897,4.33,,33962,37358,
asos,https://www.instagram.com/asos,https://www.instagram.com/reel/CuJvwuEsRj_/,Introducing clogcore 📣 Were loving the adidas Originals Stan mules because the only mode is ✨sport✨ #nostrap🔎 Search adidas Originals Stan mules on ASOS,reel,2023-07-01 07:00 AM,15937,4.76,0.10762,289,3.6,15648,4.25,,43515,47867,
asos,https://www.instagram.com/asos,https://www.instagram.com/reel/CsLYHZRs2t8/,When you know your colour 💗 ✨ maccosmetics As Seen On polonaamy,reel,2023-05-13 05:09 AM,15808,4.71,0.10675,68,0.08,15740,4.28,,28894,31783,
asos,https://www.instagram.com/asos,https://www.instagram.com/reel/CttYJynNNyy/,Comfy but cute is the vibe 🎀 adidas Originals Stan Smith mules [pink: 127241243 🦩 beige: 127241240 🥯 black: 127241242 🖤] are on site now As Snapped By thesolewomens 🎤 Sarah The illstrumentalist – Sun SeekerOur Pride season mix features artists who are creating safe spaces in music honouring our LGBTQ+ communities around the world. A soundtrack for our channels through Pride summer and beyond 🏳️‍🌈,reel,2023-06-20 06:35 AM,15701,4.67,0.10615,512,7.15,15189,4.09,,40601,44661,
asos,https://www.instagram.com/asos,https://www.instagram.com/reel/C1efTh-szvM/,2023 has been an ✨ iconic ✨ year for makeup looks! As bexcxmpbell [she/her] takes us through the year which trend is your fave?👇💄,reel,2023-12-30 07:00 AM,15486,4.59,0.10457,79,0.25,15407,4.17,,253124,278436,
