Profile,Platform,Profile Link,Permalink,Caption,Type,Date,Engagement,Engagement Ratio vs Average,Engagement Rate,Comments,Comments Ratio vs Average,Likes,Likes Ratio vs Average,Campaigns,Estimated Reach,Estimated Impressions
adidasoriginals,Instagram,https://www.instagram.com/adidasoriginals,https://www.instagram.com/p/C5i4VMprofW/,Back in black. The CLOT Superstar by Edison Chen available on April 12th.,CAROUSEL_ALBUM,2024-04-09 11:01 AM,62251,0.25,0.1804,349,-0.45,61902,0.26,,584622,643084
adidasoriginals,Instagram,https://www.instagram.com/adidasoriginals,https://www.instagram.com/reel/CyDMPUVN70C/,The Art of Explorative garment transitions with ndjolijean #moncleradidasoriginals​,reel,2023-10-06 04:00 AM,61670,0.24,0.17918,238,-0.62,61432,0.25,,334784,368263
adidasoriginals,Instagram,https://www.instagram.com/adidasoriginals,https://www.instagram.com/p/Cy5RTSZrlXH/,Two legends collide!  adidas Originals and KoRn have joined forces to create something epic. Discover the new collection at select online retailers and in stores.,CAROUSEL_ALBUM,2023-10-27 04:03 AM,58287,0.17,0.16935,772,0.2,57515,0.17,,444768,489245
adidasoriginals,Instagram,https://www.instagram.com/adidasoriginals,https://www.instagram.com/p/CxVYSTFIZI1/,A true original that changed the game the moment it stepped off the court. #adidasSuperstar #WeGaveTheWorldAnOriginal,IMAGE,2023-09-18 09:00 AM,55482,0.12,0.1612,168,-0.73,55314,0.13,,1681853,1850038
adidasoriginals,Instagram,https://www.instagram.com/adidasoriginals,https://www.instagram.com/p/C6MJd5MoVTQ/,It’s giving festival vibes 😮‍💨​​#adidasSamba #adidasGazelle #adidasSpezial,CAROUSEL_ALBUM,2024-04-25 11:39 AM,53043,0.07,0.15372,149,-0.76,52894,0.08,,456865,502552
adidasoriginals,Instagram,https://www.instagram.com/adidasoriginals,https://www.instagram.com/p/CyYxRODr6l0/,Coming 2024.,CAROUSEL_ALBUM,2023-10-14 01:07 PM,50979,0.03,0.14812,579,-0.09,50400,0.03,,462268,508495
adidasoriginals,Instagram,https://www.instagram.com/adidasoriginals,https://www.instagram.com/p/C5AwsBaIW9C/,Gazelle. Samba. Spezial. Born in sports. Made their way into the heartbeat of culture.Once a classic always a classic. 🤝Available on adidas.com and at select stores.​#adidasGazelle #adidasSamba #adidasSpezial,CAROUSEL_ALBUM,2024-03-27 05:00 AM,49494,0,0.14343,219,-0.65,49275,0,,443944,488338
adidasoriginals,Instagram,https://www.instagram.com/adidasoriginals,https://www.instagram.com/p/CrtY1ctJ3g2/,pharrell and phriends (and Sambas). somethinginthewater 2023.,CAROUSEL_ALBUM,2023-05-01 01:38 PM,47206,-0.04,0.13722,451,-0.29,46755,-0.04,,414736,456210
adidasoriginals,Instagram,https://www.instagram.com/adidasoriginals,https://www.instagram.com/p/Cs0c_LhrWN6/,Its giving 70s and were here for it. 🪩​​adicolor 70s available now on adidas.com/adicolor. Link in bio.,CAROUSEL_ALBUM,2023-05-29 04:00 AM,45725,-0.07,0.13292,402,-0.37,45323,-0.07,,394530,433983
adidasoriginals,Instagram,https://www.instagram.com/adidasoriginals,https://www.instagram.com/p/CyToOjYr_mS/,The Blackout.Available now in adidas stores online at adidas.com/ivypark and in select partner stores globally.#IVYPARKNOIR #adidasxIVYPARK,CAROUSEL_ALBUM,2023-10-12 01:12 PM,45122,-0.08,0.1311,653,0.01,44469,-0.08,,436700,480369
