Name,Profile,Permalink,Caption,Type,Date,Engagement,Engagement Ratio vs Average,Engagement Rate,Comments,Comments Ratio vs Average,Likes,Likes Ratio vs Average,Campaigns,Estimated Reach,Estimated Impressions
prettylittlething,https://www.instagram.com/prettylittlething,https://www.instagram.com/p/C2u9ORluo3L/,🎧💞 WIN WIN WIN 💞🎧 Our IT GIRL Essentials ☁️ Including Silver AirPods Max and a Beauty Works Aeris Multi-Styler 🙌✨ To enter👇 📲 MUST FOLLOW prettylittlething📲  COMMENT ‘💫’ below (more comments = more entries) Share to stories for your besties to see 🥰 T&C’s can be found www.prettylittlething.com 👏 Competition ends 11:59pm 13.02.24 ⏰,IMAGE,2024-01-30 01:00 PM,261074,13.95,1.45546,220561,64.5,40513,1.79,,758318,834150,
prettylittlething,https://www.instagram.com/prettylittlething,https://www.instagram.com/p/C1q72c_tztv/,🚨 BACK BY POPULAR DEMAND 🚨 WIN a brand new Pink iPhone 15 Silver Apple AirPods Max AND £1K CASH !!! 🤑🎧 MUST follow prettylittlething🎧 LIKE this post🎧 COMMENT 🦄 below (more comments = more entries)🎧 TAG a bestieShare to your stories to spread the word 😱 Open WORLDWIDE. Competition ends 13.01.24. Winner announced 15.01.24. T&Cs found at prettylittlething.com.,IMAGE,2024-01-04 03:00 AM,256868,13.71,1.42601,228098,66.74,28770,0.98,,769574,846532,
prettylittlething,https://www.instagram.com/prettylittlething,https://www.instagram.com/reel/C1XTVsCP_O3/,🚨 BACK BY POPULAR DEMAND 🚨 WIN a brand new Pink iPhone 15 Silver Apple AirPods Max AND £1K CASH !!! 🤑🎧 MUST follow prettylittlething🎧 LIKE this post🎧 COMMENT 🦄 below (more comments = more entries)🎧 TAG a bestieShare to your stories to spread the word 😱 Open WORLDWIDE. Competition ends 13.01.24. Winner announced 15.01.24. T&Cs found at prettylittlething.com.,reel,2023-12-27 12:00 PM,230453,12.2,1.27913,201716,58.9,28737,0.98,,764991,841490,
prettylittlething,https://www.instagram.com/prettylittlething,https://www.instagram.com/reel/Cy-1ihjsaoF/,The one where we lost a friend 💔 RIP Matthew Perry a true icon and best-friend. He will be truely missed 😢Lovely edit by astoldbymarissa on TikTok 🫶,reel,2023-10-29 08:01 AM,223258,11.79,1.24203,214,-0.93,223044,14.39,,308997,339897,
prettylittlething,https://www.instagram.com/prettylittlething,https://www.instagram.com/p/CruqzsCI8kb/,LETS TAKE A LOOK AT #MetGala2023 LEWKS 📸✨ Met Monday is defo our fave day out of the year 💕 This years theme is Karl Lagerfeld: A Line of Beauty in tribute to the legendary designer who passed in 2019 🕊️,CAROUSEL_ALBUM,2023-05-02 01:34 AM,205596,10.77,1.14377,438,-0.86,205158,13.15,,,,
prettylittlething,https://www.instagram.com/prettylittlething,https://www.instagram.com/reel/C1RnwnNIZD8/,🧑‍🎄💖 HAPPY CHRISTMAS 💖🧑‍🎄 We’re giving away £2k CASH to you & your bestie 🙌  Straight into your bank account 😁 All you have to do is 👇🫶 MUST FOLLOW prettylittlething 🫶 LIKE this post 🫶 COMMENT ‘#PLTHappyHolidays’ below (more comments = more entries)Share this post to let your besties know! 💕Full T&C’s on our website. Open worldwide 🌍  Competition ends 31.12.23. Winner announced 01.01.24,reel,2023-12-25 07:07 AM,203404,10.65,1.13158,180129,52.49,23275,0.6,,680096,748106,
prettylittlething,https://www.instagram.com/prettylittlething,https://www.instagram.com/p/C119k9AoBV9/,The #GoldenGlobes2024 🤝✨ We spy some loved up celebs 👀 and some next level LEWKS 🔥 Who watched last night?! 🫶,CAROUSEL_ALBUM,2024-01-08 09:47 AM,191114,9.94,1.06321,291,-0.91,190823,12.16,,254157,279573,
prettylittlething,https://www.instagram.com/prettylittlething,https://www.instagram.com/p/C2rzs6osxy5/,SPOTTED 🥺 edwestwick proposing to girlfriend iamamyjackson 💍🤍 Massive congratulations ✨,CAROUSEL_ALBUM,2024-01-29 07:39 AM,182234,9.44,1.0138,352,-0.89,181882,11.55,,242855,267140,
prettylittlething,https://www.instagram.com/prettylittlething,https://www.instagram.com/p/C1mFj99qE2Q/,💖👑 FIT FOR A QUEEN 👑💖 WIN Royalty Delivery for a year £5k CASH AND a Spa Day including Afternoon Tea 💸🧖‍♀️💫All you have to do is👇🫶 MUST FOLLOW prettylittlething🫶 TAG your PLT Queen below🫶 COMMENT 👑🦄 below (more comments = more enteries)Share this post to let your besties know! 💕Full T&C’s on our website. Open worldwide 🌍 Competition ends 16.01.24. Winner announced 17.01.24,IMAGE,2024-01-02 05:49 AM,181012,9.37,1.00489,160549,46.68,20463,0.41,,541910,596101,
prettylittlething,https://www.instagram.com/prettylittlething,https://www.instagram.com/reel/C0B4DNisomC/,🚀 POWER COUPLE 🚀 Okayyyy we are loving seeing mayajama & stormzy all loved up 🫶 WE WANT MORE!!! 🤝,reel,2023-11-24 07:48 AM,180228,9.32,1.00264,811,-0.75,179417,11.38,,,,
