Name,Profile,Permalink,Caption,Type,Date,Engagement,Engagement Ratio vs Average,Engagement Rate,Comments,Comments Ratio vs Average,Likes,Likes Ratio vs Average,Campaigns,Estimated Reach,Estimated Impressions
gucci,https://www.instagram.com/gucci,https://www.instagram.com/reel/Ctj3qLSADFx/,70 Years of an Icon: The Horsebit Loafer Presenting a multi-faceted exhibition curated by Alessio Ascari showcasing artworks inspired by the House?ôs iconic equestrian-inspired style. Spazio Maiocchi Milan June 17-18 from 10 a.m. to 6 p.m. Discover more at link in bio. Featured artists: #BoladeBanjo #CandelaCapit√°n #EdDavis #CharlieEngman #SylvieFleury #AnnaFranceschini #GyuhanLee #HarryNuriev #Pitterpatter and #BlatantSpace Credits:Video: Michele Foti inneromodoMusic: Biga biga____#GucciHorsebit #MFW,reel,2023-06-16 14:02,15566,-0.82,0.02977,88,-0.86,15478,-0.82,,754952,830447
gucci,https://www.instagram.com/gucci,https://www.instagram.com/reel/C190mJGCu7o/,?úI began to mentally isolate fragments of sentences and I realized that some words simple linear one next to the other created images in my head. Images that spoke of emotions that I was living.?ù‚Ä?Valerio Eliogabalo Torrisi speaks about his work which is featured on the Gucci Art Wall in Shanghai ahead of the Fall Winter 2024 Men?ôs Fashion Show in Milan by Sabato De Sarno.Live tomorrow at 3PM CETArtwork: ?òOgni tanto lo so sogni anche tu e sogni di noi??(Every now and then I know you dream too and you dream of us) by Valerio Eliogabalo Torrisi#GucciFW24 #MFW #GucciArtWall,reel,2024-01-11 11:04,15363,-0.82,0.02933,112,-0.82,15251,-0.82,,706804,777484
gucci,https://www.instagram.com/gucci,https://www.instagram.com/reel/Crkrk56A9Kf/,Inspired by the idea of ?òCathedral Thinking??the exhibition concept and design of Gucci Cosmos by artist Es Devlin portrays how the ideas of one generation have been expanded upon by the next to create the myth of the House beating through time and only possibile through that intangible collaboration. Discover more at the link in bio.¬†#GucciCosmos,reel,2023-04-28 4:30,15077,-0.83,0.02884,76,-0.88,15001,-0.82,,563518,619870
gucci,https://www.instagram.com/gucci,https://www.instagram.com/p/CwptqE2IrSw/,Vittoria Ceretti and the new Gucci Horsebit ChainDiscover the Fall Winter 2023 campaign at the link in bio #GucciFW23 #GucciHorsebitChain,CAROUSEL_ALBUM,2023-09-01 10:00,14969,-0.83,0.02864,90,-0.86,14879,-0.83,,806368,887005
gucci,https://www.instagram.com/gucci,https://www.instagram.com/p/CtkTbccM5Qj/,The iconic Horsebit Loafer is reinterpreted by artists from around the world including Harry Nuriev from Crosby Studios who created a conceptual space within the House?ôs temporary exhibition taking place at Spazio Maiocchi in Milan.June 17-18 from 10 a.m. to 6 p.m. Discover more at link in bio. #GucciHorsebit #HarryNuriev #MFW,CAROUSEL_ALBUM,2023-06-16 18:00,14840,-0.83,0.02846,55,-0.91,14785,-0.83,,665320,731852
gucci,https://www.instagram.com/gucci,https://www.instagram.com/reel/Cs6BXQcA6c3/,At Gucci we have been convening uniting and strengthening the voices speaking out for gender equality for the last decade. Tune in tomorrow as we mark 10 years of the House?ôs #GucciChime global campaign for gender equality.#ChimeInDirected by sharmeenobaidchinoyMusic: ?úFreedom??by Beyonc√© feat. Kendrick Lamar??2016 Parkwood Entertainment LLC under exclusive license to Columbia Records a Division of Sony Music Entertainment¬©Ô∏?2016 WB Music Corp,reel,2023-05-31 8:00,14808,-0.83,0.02832,131,-0.79,14677,-0.83,,772446,849690
gucci,https://www.instagram.com/gucci,https://www.instagram.com/reel/Cs9VvmWAe4h/,?úYes my one voice does count??- Jodie Turner-Smith on speaking out for a gender-equal world as shared in a series of personal interviews from activists and artists around the world.Experience the full film directed by sharmeenobaidchinoy that explores the progress and pushback in the fight for gender equality since the 2013 launch of #GucciChime the House?ôs longstanding global campaign for gender equality ??link in bio.Music: ?úFreedom??by Beyonc√© feat. Kendrick Lamar??2016 Parkwood Entertainment LLC under exclusive license to Columbia Records a Division of Sony Music Entertainment¬©Ô∏?2016 WB Music Corp#SalmaHayek #DaisyEdgarJones #JodieTurnerSmith #JohnLegend #AnnieLennox #IdrisElba #HalleBailey,reel,2023-06-01 15:00,14637,-0.83,0.02807,128,-0.8,14509,-0.83,,835195,918714
gucci,https://www.instagram.com/gucci,https://www.instagram.com/reel/CthaCBDsUMJ/,Presenting an immersive exhibition that celebrates 70 years of an icon: the Horsebit Loafer Spazio Maiocchi Milan June 17-18 from 10 a.m. to 6 p.m. #GucciHorsebit #MFW,reel,2023-06-15 15:00,14578,-0.83,0.02795,83,-0.87,14495,-0.83,,708655,779521
gucci,https://www.instagram.com/gucci,https://www.instagram.com/reel/C4Bdl5FNDXW/,Show-ready with Julia and Emma.  Julia Garner and Emma Chamberlain captured at their fittings for the Fall Winter 2024 women?ôs show.?? #GucciFW24 #MFW,reel,2024-03-02 14:10,13974,-0.84,0.02667,122,-0.81,13852,-0.84,,119306,131236
gucci,https://www.instagram.com/gucci,https://www.instagram.com/reel/Cs4NRq4MeTs/,With a multi-layered silhouette and ultra-thin profile GUCCI 25H timepieces are inspired by the sleek forms of contemporary architecture. Discover more at link in bio.??#GUCCI25H #GucciTimepieces,reel,2023-05-30 15:00,13952,-0.84,0.02669,96,-0.85,13856,-0.84,,667902,734692
gucci,https://www.instagram.com/gucci,https://www.instagram.com/p/CuC4Tl1obP-/,In the latest episode of A Hero?ôs Journey a series by Gucci and GQ Sports about celebrated athletes Jannik Sinner talks about being in the spotlight while he?ôs still developing?îas a player and a person. Discover more at link in bio. #JannikSinner #AHerosJourney gqsports,IMAGE,2023-06-28 15:00,7035,-0.92,0.01355,46,-0.92,6989,-0.92,,315431,346975
asos,https://www.instagram.com/asos,https://www.instagram.com/p/C3QK937IoiT/,Sorry for the radio silence?¶we?ôre STILL not over last night ?òÆ?çüí®üèàüè?What?ôs your fave moment?,CAROUSEL_ALBUM,2024-02-12 10:35,72797,25.31,0.49158,292,3.64,72505,23.33,,934118,1027530
asos,https://www.instagram.com/asos,https://www.instagram.com/p/C3YXvPMs44h/,He?ôs just Ken.,CAROUSEL_ALBUM,2024-02-15 15:01,40711,13.71,0.27491,215,2.42,40496,12.59,,562078,618286
asos,https://www.instagram.com/asos,https://www.instagram.com/reel/CvRoR8TNv5o/,We can?ôt unsee this colour work from heygreatnails [she/her] ???íó,reel,2023-07-29 5:00,39557,13.29,0.26744,188,1.99,39369,12.21,,65036,71540
asos,https://www.instagram.com/asos,https://www.instagram.com/reel/CyF3_TTtP5g/,We aint afraid of no ghosts ?òâ?ëª?íÖ As Seen on heygreatnails [she/her],reel,2023-10-07 5:00,33048,10.94,0.22316,386,5.14,32662,9.96,,65398,71938
