Name,Profile,Permalink,Caption,Type,Date,Engagement,Engagement Ratio vs Average,Engagement Rate,Comments,Comments Ratio vs Average,Likes,Likes Ratio vs Average,Campaigns,Estimated Reach,Estimated Impressions
adidasoriginals,https://www.instagram.com/adidasoriginals,https://www.instagram.com/reel/CxnSA11IAlC/,Brave. Free. Original.  jennaortega x adidasOriginals x adidas​ #1000Originals #adidasOriginals,reel,2023-09-25 08:00 AM,1048657,19.64,3.04683,36385,54.33,1012272,19.18,,18888030,20776834,
adidasoriginals,https://www.instagram.com/adidasoriginals,https://www.instagram.com/reel/CxvJGkyIBhU/,Determined. Real. Original.  judebellingham x adidasOriginals x adidasLondon  #1000Originals #adidasOriginals,reel,2023-09-28 09:08 AM,397481,6.82,1.15487,751,0.14,396730,6.91,,4254139,4679553,
adidasoriginals,https://www.instagram.com/adidasoriginals,https://www.instagram.com/p/Cr0FDWcIRQW/,Behind the scenes with these icons 💙sooyaaa__jennierubyjanelalalalisa_mroses_are_rosie​ on-set for #HomeOfClassics,CAROUSEL_ALBUM,2023-05-04 04:00 AM,322175,5.34,0.93652,4663,6.09,317512,5.33,,1495474,1645021,
adidasoriginals,https://www.instagram.com/adidasoriginals,https://www.instagram.com/reel/CxulssKoc9X/,Effortless. Versatile. Original.  jennierubyjane x adidasOriginals  #1000Originals #adidasOriginals,reel,2023-09-28 04:12 AM,219199,3.31,0.63687,9594,13.59,209605,3.18,,6147177,6761895,
adidasoriginals,https://www.instagram.com/adidasoriginals,https://www.instagram.com/reel/Cq8PvBTogt9/,mimimoocher shows us how she wears her #adidasxGucci Gazelles,reel,2023-04-12 11:36 AM,176350,2.47,0.51293,1104,0.67,175246,2.49,,835451,918997,
adidasoriginals,https://www.instagram.com/adidasoriginals,https://www.instagram.com/p/CwmfouLo96v/,Since 1972 the Trefoil logo has lived a thousand lifetimes. #WeGaveTheWorldAnOriginal,IMAGE,2023-08-31 03:59 AM,157438,2.09,0.45743,1055,0.6,156383,2.11,,550655,605720,
adidasoriginals,https://www.instagram.com/adidasoriginals,https://www.instagram.com/reel/Cyv1akVrpzM/,¿Alguna vez te has animado hacia lo que no conoces?Signups open now on Confirmed.,reel,2023-10-23 12:08 PM,146448,1.88,0.4255,979,0.48,145469,1.9,,595278,654806,
adidasoriginals,https://www.instagram.com/adidasoriginals,https://www.instagram.com/p/CqZ-HXAoeOv/,adidas heroes for adidas x Gucci. ⚽️ The collaborative collection launches March 31 on CONFIRMED and online at adidas.com/gucci. #adidasxGucci,CAROUSEL_ALBUM,2023-03-30 04:07 AM,145198,1.85,0.42259,375,-0.42,144823,1.88,,754315,829746,
adidasoriginals,https://www.instagram.com/adidasoriginals,https://www.instagram.com/reel/Cxm3NsgIgcU/,Unmissable. Self-confident. Original.​ zidane x adidasOriginals x adidas​ #1000Originals #adidasOriginals,reel,2023-09-25 04:00 AM,130960,1.57,0.3805,1051,0.59,129909,1.59,,4005167,4405683,
adidasoriginals,https://www.instagram.com/adidasoriginals,https://www.instagram.com/p/CrHuDMcrc8k/,coachella /// Weekend 1,CAROUSEL_ALBUM,2023-04-16 10:32 PM,126833,1.49,0.36883,454,-0.3,126379,1.52,,741579,815737,
