Profile,Profile Link,Post Link,Text,Date,Type,Video Length (seconds),Engagement,Engagement Ratio vs Average,Likes,Likes Ratio vs Average,Shares,Shares Ratio vs Average,Saves,Comments,Comments Ratio vs Average,Views,Engagement Rate,Music Name, Music Author, Hashtags, Campaigns
dior,https://www.tiktok.com/@dior,http://tiktok.com/@Dior/video/7318094650479316256,Do you recognize those lips? A new Rouge Dior era is coming in 2024. ¬† #DiorBeauty #DiorMakeup #RougeDior,2023-12-29 14:04,video,5,81680,0.12,80154,1.12,130,0.13,1526,782,1.08,1304343,6.26216,,,diorbeauty diormakeup rougedior,
dior,https://www.tiktok.com/@dior,http://tiktok.com/@Dior/video/7284567940312223009,Wanna know about #DiorSS24? JISOO Anya Taylor-Joy and Jenna Ortega light up the #StarsinDior scene. #TikTokFashion ,2023-09-30 6:44,video,87,81009,0.11,76677,1.07,439,0.45,4332,1441,1.99,540145,14.99764,original sound Dior,,diorss24? starsindior tiktokfashion,
dior,https://www.tiktok.com/@dior,http://tiktok.com/@Dior/video/7248241321507327258,Get a head start on #DiorSummer24 #TikTokFashion #PFW ,2023-06-24 9:18,video,24,78654,0.08,77768,1.09,1043,1.08,886,487,0.67,4327572,1.81751,original sound Dior,,diorsummer24 tiktokfashion pfw,
dior,https://www.tiktok.com/@dior,http://tiktok.com/@Dior/video/7224528536579640603,That?ôs how we get that #GemDior glow.,2023-04-21 11:40,video,35,78445,0.07,78224,1.09,1332,1.38,221,583,0.8,9945936,0.78871,original sound Dior,,gemdior,
dior,https://www.tiktok.com/@dior,http://tiktok.com/@Dior/video/7249784449733381403,It?ôs a numbers game for Laetitia Casta #DiorLady9522,2023-06-29 4:00,video,17,76958,0.05,76608,1.07,511,0.52,350,189,0.26,10530402,0.73082,original sound - Dior Dior,,diorlady9522,
dior,https://www.tiktok.com/@dior,http://tiktok.com/@Dior/video/7340368839445712161,Experience the essence of the #DiorAW24 show by Maria Grazia Chiuri!,2024-02-27 14:40,video,14,75232,0.03,74996,1.05,790,0.81,236,288,0.39,87736213,0.08575,,,dioraw24,
dior,https://www.tiktok.com/@dior,http://tiktok.com/@Dior/video/7318393011824512289,A new face joins the Rouge Dior show. Who is she? A new Rouge Dior era is coming in 2024. ¬† #DiorBeauty #DiorMakeup #RougeDior,2023-12-30 9:22,video,5,73047,0,71949,1.01,81,0.08,1098,294,0.4,1287777,5.67233,,,diorbeauty diormakeup rougedior,
dior,https://www.tiktok.com/@dior,http://tiktok.com/@Dior/video/7283513735250005280,Rule-breaking and statement-making! #DiorSS24 #TikTokFashion ,2023-09-27 10:33,video,20,70395,-0.03,70152,0.98,920,0.95,243,259,0.35,24675821,0.28528,original sound Dior,,diorss24 tiktokfashion,
dior,https://www.tiktok.com/@dior,http://tiktok.com/@Dior/video/7297250559684316448,Dream in l?ôOr. #DiorBeauty #DiorParfums #DiorHoliday #DreamInDior,2023-11-03 10:59,video,13,67324,-0.07,66820,0.93,450,0.46,504,1074,1.49,5957543,1.13006,original sound Dior,,diorbeauty diorparfums diorholiday dreamindior,
dior,https://www.tiktok.com/@dior,https://www.tiktok.com/@dior/video/7280087049623866657,Step up your game. #DiorWinter23 ,2023-09-18 4:56,video,21,66599,-0.08,65700,0.92,648,0.67,1317,251,0.34,1800000,3.69994,original sound Dior,,diorwinter23,
dior,https://www.tiktok.com/@dior,http://tiktok.com/@Dior/video/7210490504805584133,Time for some La D My Dior savoir-faire!,2023-03-14 15:45,video,22,65383,-0.1,65383,0.91,851,0.88,0,353,0.48,10633110,0.6149,original sound Dior,,,
dior,https://www.tiktok.com/@dior,https://www.tiktok.com/@dior/video/7278976384804965665,A starry-eyed dreamer featuring #DiorJoaillerie global ambassador HAERIN ,2023-09-15 5:06,video,30,65013,-0.1,61100,0.85,2679,2.77,6315,1234,1.71,424200,15.32603,original sound Dior,,diorjoaillerie,
dior,https://www.tiktok.com/@dior,http://tiktok.com/@Dior/video/7213665002668985606,Rachele Regini might be new to TikTok but she?ôs no stranger to the #DiorLady9522! ,2023-03-23 5:04,video,27,64879,-0.1,64855,0.91,199,0.2,24,195,0.27,8771354,0.73967,original sound Dior,,diorlady9522,
dior,https://www.tiktok.com/@dior,http://tiktok.com/@Dior/video/7331784137482702113,Discover what makes New York a city uniquely meaningful to Robert Pattinson. ¬† #DiorBeauty #DiorParfums #DiorHomme #RobertPattinson,2024-02-04 11:27,video,23,61201,-0.15,58974,0.82,687,0.71,2227,486,0.67,11182031,0.54732,,,diorbeauty diorparfums diorhomme robertpattinson,
dior,https://www.tiktok.com/@dior,http://tiktok.com/@Dior/video/7280099250417962273,Rediscover Sauvage Eau de Parfum the mysterious and sensual scent. #DiorBeauty #DiorParfums #DiorSauvage #MySauvageCall ,2023-09-18 5:43,video,9,61194,-0.15,60316,0.84,1439,1.49,878,446,0.61,14620141,0.41856,original sound Dior,,diorbeauty diorparfums diorsauvage mysauvagecall,
dior,https://www.tiktok.com/@dior,http://tiktok.com/@Dior/video/7224105705479867675,Celeste is in it to win it! #DiorLady9522 ,2023-04-20 8:19,video,29,59990,-0.17,59954,0.84,212,0.21,36,89,0.12,7738712,0.77519,original sound Dior,,diorlady9522,
dior,https://www.tiktok.com/@dior,http://tiktok.com/@Dior/video/7218674396284620037,Spell it out with Camille Cottin #DiorLady9522,2023-04-06 3:00,video,17,59154,-0.18,59131,0.83,458,0.47,23,147,0.2,9964792,0.59363,original sound Dior,,diorlady9522,
dior,https://www.tiktok.com/@dior,http://tiktok.com/@Dior/video/7242356252561509659,Zip up your enthusiasm and buckle up your curiosity #DiorASMR,2023-06-10 9:00,video,34,55457,-0.23,55377,0.77,769,0.79,80,867,1.2,13131992,0.4223,original sound - Dior Dior,,diorasmr,
dior,https://www.tiktok.com/@dior,http://tiktok.com/@Dior/video/7340630274637679905,Make some noise for Dior global ambassador JISOO at the Autumn-Winter 2024-2025 show! #TikTokFashion #ParisFashionWeek,2024-02-28 7:34,video,12,52691,-0.27,48557,0.68,1189,1.23,4134,2062,2.86,236640,22.26631,,,,
