Profile,Profile Link,Post Link,Text,Date,Type,Video Length (seconds),Engagement,Engagement Ratio vs Average,Likes,Likes Ratio vs Average,Shares,Shares Ratio vs Average,Saves,Comments,Comments Ratio vs Average,Views,Engagement Rate,Music Name, Music Author, Hashtags, Campaigns
asos,https://www.tiktok.com/@asos,http://tiktok.com/@asos/video/7338023822437715232,Meanwhile... *BIG* things are happening over on site 🫶 Get lost in the Wilderness trend now <3 #fashion #newseason #styletips #wild,2024-02-21 07:00,video,10,4757,-0.48,4749,0.51,27,0.64,8,77,1.92,1046890,0.45439,,,fashion newseason styletips wild,,
asos,https://www.tiktok.com/@asos,http://tiktok.com/@asos/video/7341517450669870369,ASOS hq = no dress code. Which insider look would you wear to the office? 1-7 👇 #ASOSinsiders #asos,2024-03-01 16:57,video,8,4726,-0.48,4718,0.51,12,0.28,8,25,0.62,872117,0.5419,,,asosinsiders asos,,
asos,https://www.tiktok.com/@asos,http://tiktok.com/@asos/video/7340206532023438624,This is NOT a drill ASOS Insiders are BACK & the 2024 line-up has just been announced 📣(!!!) Head over to the ASOS Instagram to meet’em 🫶 #ASOSinsiders #asos,2024-02-27 04:10,video,8,4710,-0.49,4692,0.51,19,0.45,18,33,0.82,1183530,0.39796,,,asosinsiders asos,,
asos,https://www.tiktok.com/@asos,http://tiktok.com/@asos/video/7334065651360812320,Can ASOSer Courtney style one basic piece loadsa different ways in just 60 secs? Challenge accepted 🤝.𖥔,2024-02-10 15:00,video,67,3782,-0.59,3728,0.4,32,0.76,54,56,1.39,1173152,0.32238,,,,,
asos,https://www.tiktok.com/@asos,http://tiktok.com/@asos/video/7338781733090872608,Spring is that you? One week to go 🌸🌺🌷,2024-02-23 08:01,video,7,3554,-0.61,3545,0.38,55,1.32,9,23,0.57,1280661,0.27751,,,,,
asos,https://www.tiktok.com/@asos,http://tiktok.com/@asos/video/7338394929942613280,Shooting on the streets of London looks like... 🎬 #bts #behindthescenes #fashion #StreetStyle #streetwear,2024-02-22 07:00,video,12,3543,-0.61,3540,0.38,15,0.36,3,6,0.14,1720381,0.20594,,,bts behindthescenes fashion streetstyle streetwear,,
asos,https://www.tiktok.com/@asos,http://tiktok.com/@asos/video/7337623718669176097,#LFW streetstyle from day to night ♥️ Our Junior Fashion Editor Cris talks through her fave trends from the week from pops of red to techy trainers.  BRB taking notes 📝✨ #trending #trend #trends #trendalert #fashiontrends #fashion #fashiontiktok #fashiontok #StreetStyle #london #londonstyle #londonstreetstyle #lfw24 ,2024-02-20 05:07,video,53,3104,-0.66,3033,0.33,29,0.69,71,22,0.54,1434767,0.21634,,,lfw trending trend trends trendalert fashiontrends fashion fashiontiktok fashiontok streetstyle london londonstyle londonstreetstyle lfw24,,
asos,https://www.tiktok.com/@asos,http://tiktok.com/@asos/video/7337374437077011744,Spotted: new-season streetwear staples 🚦On site *now*. Ft. just-dropped Nike Zoom Vomeros... #fashiontiktok #StreetFashion #cctv #style #nike,2024-02-19 13:00,video,11,3013,-0.67,2957,0.32,19,0.45,56,10,0.24,1285643,0.23436,,,fashiontiktok streetfashion cctv style nike,,
asos,https://www.tiktok.com/@asos,http://tiktok.com/@asos/video/7334374849688767776,Movement goes beyond her jump rope sessions for @lauren.jumps [she/her] #jumprope #skipping #sportstok #active,2024-02-11 11:00,video,28,2541,-0.72,2487,0.27,16,0.38,54,11,0.27,1251936,0.20297,,, jumprope skipping sportstok active,,
asos,https://www.tiktok.com/@asos,http://tiktok.com/@asos/video/7342105775675903264,How to style: Gorpcore Edition 🌱👟 with @yungalyy,2024-03-03 07:00,video,59,2529,-0.72,2527,0.27,9,0.21,2,37,0.92,401333,0.63015,,,,,
asos,https://www.tiktok.com/@asos,http://tiktok.com/@asos/video/7336160682234170657,Calling all US ASOSers 🇺🇸🚨 Every style is $5 in the ASOS Sample Sale! Feb 18th + 19th only. Ts&Cs apply* #asossamplesale #asossale #asos #samplesale #usonly #fashiontiktok,2024-02-16 06:30,video,55,2499,-0.72,2425,0.26,106,2.54,74,8,0.19,517472,0.48292,,,asossamplesale asossale asos samplesale usonly fashiontiktok,,
asos,https://www.tiktok.com/@asos,http://tiktok.com/@asos/video/7337281651405376800,Spotted: our Wilderness trend 🌸 Feat. down-to-earth tones oversized silhouettes and romantic accents 🌳 Go see what we mean >>>> #wildlife #fashiontiktok #earthy #new #style,2024-02-19 07:00,video,12,1376,-0.85,1329,0.14,14,0.33,47,14,0.34,609986,0.22558,,,wildlife fashiontiktok earthy new style,,
asos,https://www.tiktok.com/@asos,http://tiktok.com/@asos/video/7335446740763512097,Our stylists Courtney & Charis have been doing a BFF Valentine’s shoot in the ASOS studios for the past five years and it’s TOO CUTE not to share 🥹🌹✨ #vday #valentinesday #valentines #shoot #photoshoot #bestie #besties #bff #workbestie #workbff #asos,2024-02-14 08:19,carrousel,9,420,-0.95,408,0.04,4,0.09,12,24,0.59,13343,3.14772,,,vday valentinesday valentines shoot photoshoot bestie besties bff workbestie workbff asos,,
asos,https://www.tiktok.com/@asos,http://tiktok.com/@asos/video/7339221425695280417,Music food ‘fits and vibes. All-star link up @BAMBI 📸 dump,2024-02-24 12:27,carrousel,9,69,-0.99,63,0,0,0,6,0,0,6242,1.10541,,,,,
asos,https://www.tiktok.com/@asos,http://tiktok.com/@asos/video/7341430245716741409,Nothing hits better than beinh out in nature with @Iwana Cristal and @adam rhazali ,2024-03-01 11:18,video,12,50,-0.99,49,0,0,0,1,0,0,2505,1.99601,,, ,,
