Profile,Type,sqrt_engagement_zscore,Time_Frame,Treatment,Followers,Month,num_posts
vinted,IMAGE,-0.4505688180330047,0.0,0.0,541237,5,145
vinted,IMAGE,0.25647285177186385,0.0,0.0,541237,5,145
vinted,CAROUSEL_ALBUM,1.1961622897883133,0.0,0.0,541237,5,145
vinted,CAROUSEL_ALBUM,0.454930759124543,0.0,0.0,541237,5,145
vinted,CAROUSEL_ALBUM,-0.3138455253726781,0.0,0.0,541237,5,145
vinted,IMAGE,0.3953603151184106,1.0,0.0,541237,6,145
vinted,CAROUSEL_ALBUM,0.09079291334274073,1.0,0.0,541237,6,145
vinted,IMAGE,-0.44028814366987135,1.0,0.0,541237,6,145
vinted,IMAGE,-0.6780674058437429,1.0,0.0,541237,6,145
vinted,CAROUSEL_ALBUM,0.5305109336385154,1.0,0.0,541237,6,145
urbanic,IMAGE,-0.19011252681567112,0.0,0.0,56950,9,46
urbanic,IMAGE,0.832398196159799,0.0,0.0,56950,9,46
urbanic,CAROUSEL_ALBUM,0.025425384288629296,0.0,0.0,56950,10,46
urbanic,CAROUSEL_ALBUM,0.20062237200812982,0.0,0.0,56950,11,46
urbanic,reel,0.27874186007161667,0.0,0.0,56950,11,46
urbanic,reel,-0.32603245174607487,1.0,0.0,56950,11,46
urbanic,reel,-0.32603245174607487,1.0,0.0,56950,11,46
urbanic,reel,0.025425384288629296,1.0,0.0,56950,11,46
urbanic,IMAGE,-0.9308067635637665,1.0,0.0,56950,11,46
urbanic,IMAGE,0.025425384288629296,1.0,0.0,56950,11,46
urbanic,reel,0.025425384288629296,0.0,0.0,56950,4,46
urbanic,CAROUSEL_ALBUM,-0.19011252681567112,0.0,0.0,56950,5,46
urbanic,CAROUSEL_ALBUM,-0.19011252681567112,0.0,0.0,56950,5,46
urbanic,CAROUSEL_ALBUM,-0.5031667465900492,0.0,0.0,56950,5,46
urbanic,IMAGE,-0.5031667465900492,0.0,0.0,56950,5,46
urbanic,reel,-0.32603245174607487,1.0,0.0,56950,5,46
urbanic,reel,-0.9308067635637665,1.0,0.0,56950,6,46
urbanic,reel,-0.07552672961633192,1.0,0.0,56950,6,46
urbanic,CAROUSEL_ALBUM,0.883516171889308,1.0,0.0,56950,6,46
urbanic,reel,-0.32603245174607487,1.0,0.0,56950,6,46
urbanic,CAROUSEL_ALBUM,-0.32603245174607487,0.0,0.0,56950,11,46
urbanic,reel,0.7254359003472977,0.0,0.0,56950,12,46
urbanic,CAROUSEL_ALBUM,-0.07552672961633192,0.0,0.0,56950,12,46
urbanic,reel,-0.32603245174607487,0.0,0.0,56950,12,46
urbanic,IMAGE,-0.5031667465900492,0.0,0.0,56950,12,46
urbanic,reel,-0.9308067635637665,1.0,0.0,56950,12,46
urbanic,CAROUSEL_ALBUM,-0.5031667465900492,1.0,0.0,56950,12,46
urbanic,IMAGE,-0.07552672961633192,1.0,0.0,56950,12,46
urbanic,IMAGE,-0.9308067635637665,1.0,0.0,56950,1,46
urbanic,IMAGE,0.35211328735738534,1.0,0.0,56950,1,46
stockx,reel,-0.14552919696833022,0.0,0.0,4187789,12,276
stockx,reel,0.09170910167462569,0.0,0.0,4187789,1,276
stockx,reel,-0.3870607051356263,0.0,0.0,4187789,1,276
stockx,reel,-0.08182853423836534,0.0,0.0,4187789,1,276
stockx,reel,-0.3578807586464343,0.0,0.0,4187789,1,276
stockx,reel,-0.07873762581368449,1.0,0.0,4187789,1,276
stockx,reel,-0.5503742787068109,1.0,0.0,4187789,1,276
stockx,reel,-0.46110844827897285,1.0,0.0,4187789,1,276
stockx,reel,-0.6025470563610371,1.0,0.0,4187789,1,276
stockx,reel,-0.14164917982690786,1.0,0.0,4187789,1,276
stockx,reel,0.07652462900858191,0.0,0.0,4187789,11,276
stockx,reel,-0.6361737459464493,0.0,0.0,4187789,11,276
stockx,reel,0.53765928558234,0.0,0.0,4187789,11,276
stockx,reel,0.18682950295341158,0.0,0.0,4187789,11,276
stockx,reel,-0.24662848521675226,0.0,0.0,4187789,11,276
stockx,reel,-0.5227103736213558,1.0,0.0,4187789,11,276
stockx,reel,-0.5626491976625222,1.0,0.0,4187789,11,276
stockx,reel,0.09853352206657999,1.0,0.0,4187789,11,276
stockx,reel,0.600490495756131,1.0,0.0,4187789,11,276
stockx,reel,-0.33420215771874046,1.0,0.0,4187789,11,276
stockx,reel,-0.37206696376733467,0.0,0.0,4187789,9,276
stockx,reel,-0.42946052949299984,0.0,0.0,4187789,9,276
stockx,reel,-0.18217443268364936,0.0,0.0,4187789,9,276
stockx,reel,-0.22155151326043687,0.0,0.0,4187789,9,276
stockx,reel,0.7303536192995428,0.0,0.0,4187789,9,276
stockx,reel,-0.3898131969099245,1.0,0.0,4187789,9,276
stockx,reel,-0.5227103736213558,1.0,0.0,4187789,9,276
stockx,reel,0.05389439958530969,1.0,0.0,4187789,9,276
stockx,reel,0.07704650821811362,1.0,0.0,4187789,9,276
stockx,reel,-0.2488446175485897,1.0,0.0,4187789,9,276
stockx,reel,-0.15223334316722112,0.0,0.0,4187789,6,276
stockx,reel,-0.5585351657662617,0.0,0.0,4187789,6,276
stockx,reel,-0.44398730119428226,0.0,0.0,4187789,6,276
stockx,reel,0.05800083691076736,0.0,0.0,4187789,6,276
stockx,reel,-0.04925064422060042,0.0,0.0,4187789,7,276
stockx,reel,-0.5818248294955416,1.0,0.0,4187789,7,276
stockx,CAROUSEL_ALBUM,-0.44085389176523676,1.0,0.0,4187789,7,276
stockx,reel,-0.5430095219147739,1.0,0.0,4187789,7,276
stockx,reel,-0.5425368152943516,1.0,0.0,4187789,7,276
stockx,reel,0.2721322694707102,1.0,0.0,4187789,7,276
stockx,reel,-0.4329662412606787,0.0,0.0,4187789,6,276
stockx,reel,-0.2975791884724879,0.0,0.0,4187789,6,276
stockx,reel,0.017590135332064584,0.0,0.0,4187789,6,276
stockx,reel,-0.5273300124397193,0.0,0.0,4187789,6,276
stockx,reel,-0.05399682974118099,0.0,0.0,4187789,6,276
stockx,reel,-0.4325530744307699,1.0,0.0,4187789,6,276
stockx,CAROUSEL_ALBUM,-0.14755194080403317,1.0,0.0,4187789,6,276
stockx,reel,-0.3194629979780045,1.0,0.0,4187789,6,276
stockx,reel,-0.47423470410021756,1.0,0.0,4187789,6,276
stockx,reel,-0.2469691268594394,1.0,0.0,4187789,6,276
stockx,reel,-0.42699432558355593,0.0,0.0,4187789,12,276
stockx,reel,0.048710558705939336,0.0,0.0,4187789,12,276
stockx,reel,-0.08433642503400487,0.0,0.0,4187789,12,276
stockx,reel,-0.08892293922089961,0.0,0.0,4187789,12,276
stockx,reel,-0.5394713260090478,0.0,0.0,4187789,12,276
stockx,reel,-0.6415815869275894,1.0,0.0,4187789,12,276
stockx,reel,0.08095434384794696,1.0,0.0,4187789,12,276
stockx,reel,-0.6254869386438178,1.0,0.0,4187789,12,276
