Profile,Profile Link,Post Link,Text,Date,Type,Video Length (seconds),Engagement,Engagement Ratio vs Average,Likes,Likes Ratio vs Average,Shares,Shares Ratio vs Average,Saves,Comments,Comments Ratio vs Average,Views,Engagement Rate,Music Name, Music Author, Hashtags, Campaigns
uber,https://www.tiktok.com/@uber,http://tiktok.com/@Uber/video/7290974478316719402,Did he say TOUR?! ?§© Such a good time catching up with #TroyeSivan on the way celebrate the launch of his new album ?ñ§ #uber ,2023-10-17 13:05,video,51,6070,-0.31,6041,0.69,52,1.04,29,71,0.62,122525,4.95409,Jazz Bossa Nova TOKYO Lonesome Blue,,troyesivan uber,
uber,https://www.tiktok.com/@uber,http://tiktok.com/@Uber/video/7299513789941140779,What?ôs your favorite pie on Thanksgiving? ?§§?•ß?ç™ #ubereats #thanksgiving #pie ,2023-11-09 12:22,video,84,5963,-0.32,5920,0.67,25,0.5,43,99,0.87,133560,4.46466,Four Seasons Winter 3rd Movement / Vivaldi(1214147) Issaku Matsumoto,,ubereats thanksgiving pie,
uber,https://www.tiktok.com/@uber,http://tiktok.com/@Uber/video/7325851509613235499,I ?ëè WAS ?ëè GONNA ?ëè EAT ?ëè THAT ?ëè #ubereats ,2024-01-19 11:45,video,5,5953,-0.32,5934,0.68,29,0.58,19,47,0.41,174084,3.41961,,,ubereats,
uber,https://www.tiktok.com/@uber,http://tiktok.com/@Uber/video/7259787640201923883,What?ôs your go-to bed rotting order? ?íö #ubereats ,2023-07-25 12:04,video,8,5944,-0.32,5905,0.67,15,0.3,39,63,0.55,81247,7.31596,original sound Chrish,,ubereats,
uber,https://www.tiktok.com/@uber,https://www.tiktok.com/@uber/video/7246819870497819950,The outfit still gotta hit for that one hour tho ?òá ,2023-06-20 13:22,video,7,5859,-0.33,5823,0.66,10,0.2,14,12,0.1,59800,9.79766,original sound ?éß,,,
uber,https://www.tiktok.com/@uber,http://tiktok.com/@Uber/video/7265349585533439275,Or is she just mad I stole her look? ?êà #uber ,2023-08-09 11:47,video,14,5845,-0.33,5782,0.66,50,1,63,38,0.33,54114,10.80127,original sound Vine nostalgia,,uber,
uber,https://www.tiktok.com/@uber,http://tiktok.com/@Uber/video/7338437040175975723,Tag someone you want to try this place with ?á¨?á∑?òç #ubereats ,2024-02-22 9:43,video,39,5654,-0.36,5607,0.64,154,3.1,47,69,0.6,104600,5.40535,,,ubereats,
uber,https://www.tiktok.com/@uber,http://tiktok.com/@Uber/video/7336268449632521514,Which one of these churros would you order? ?§§ #ubereats ,2024-02-16 13:28,video,19,5644,-0.36,5322,0.61,48,0.96,322,33,0.29,89669,6.29426,Dance You Outta My Head,Cat Janice,ubereats,
uber,https://www.tiktok.com/@uber,http://tiktok.com/@Uber/video/7255393295205993770,I rly just need the address but I appreciate you ?ñ§ #uber #CapCut ,2023-07-13 15:51,video,7,5335,-0.39,5266,0.6,66,1.33,69,74,0.65,64117,8.32073,Black Cat Zoning Out I Green Screen Things,,uber capcut,
uber,https://www.tiktok.com/@uber,http://tiktok.com/@Uber/video/7315087713290620206,Tag your friend who loves a sweet treat ?§§?íö #ubereats #bakery ,2023-12-21 11:36,video,246,5322,-0.39,5261,0.6,15,0.3,61,35,0.3,125843,4.22908,,,ubereats bakery,
