Name,Profile,Permalink,Caption,Type,Date,Engagement,Engagement Ratio vs Average,Engagement Rate,Comments,Comments Ratio vs Average,Likes,Likes Ratio vs Average,Campaigns,Estimated Reach,Estimated Impressions
adidas,https://www.instagram.com/adidasoriginals,https://www.instagram.com/reel/CrB_SBwgm1q/,Hay ideas tan grandes que son capaces de hacer florecer todo un desierto?åµ?å∫Hablamos con janthonyoliveras Director Creativo de badbunnypr para entender m√°s sobre la inspiraci√≥n y el proceso creativo detr√°s de nuestra m√°s reciente colaboraci√≥n. #adidasxbadbunnyDisponible los dos fines de semana en coachella ?é°,reel,2023-04-14 17:10,75007,0.47,0.21815,522,-0.2,74485,0.48,,666889,733578
adidas,https://www.instagram.com/adidasoriginals,https://www.instagram.com/p/CyyMRgmrNqr/,Embrace the Paso Fino. The Bad Bunny Response CL celebrates el vaquero in all of us.Signups open now. Available October 28th on Confirmed App adidas stores and select retail partner stores globally.,CAROUSEL_ALBUM,2023-10-24 10:04,73473,0.44,0.21347,271,-0.58,73202,0.45,,394031,433434
adidas,https://www.instagram.com/adidasoriginals,https://www.instagram.com/reel/CyDMPUVN70C/,The Art of Explorative garment¬†transitions with ndjolijean¬†#moncleradidasoriginals??reel,2023-10-06 4:00,61670,0.21,0.17918,238,-0.63,61432,0.22,,334784,368263,
adidas,https://www.instagram.com/adidasoriginals,https://www.instagram.com/p/CzdbIm1IRBa/,Retro feels legendary flair.Dive into nostalgia with the new adidas¬†Originals x sportyandrich drop.¬†Available on CONFIRMED adidas.com¬†and at select stores.,CAROUSEL_ALBUM,2023-11-10 4:01,60860,0.19,0.17683,327,-0.5,60533,0.2,,348124,382936
adidas,https://www.instagram.com/adidasoriginals,https://www.instagram.com/p/CrUjiftrhtW/,Fear of God Athletics. Coming soon.,IMAGE,2023-04-21 22:10,58779,0.15,0.17107,231,-0.64,58548,0.16,,437990,481789
adidas,https://www.instagram.com/adidasoriginals,https://www.instagram.com/p/Cy5RTSZrlXH/,Two legends collide!¬†¬†adidas Originals and¬†KoRn¬†have joined forces¬†to create something epic. Discover the new¬†collection at select online retailers and in¬†stores.,CAROUSEL_ALBUM,2023-10-27 4:03,58287,0.14,0.16935,772,0.17,57515,0.14,,444768,489245
adidas,https://www.instagram.com/adidasoriginals,https://www.instagram.com/p/CxVYSTFIZI1/,A true original that changed the game¬†the moment it stepped off the court.¬†#adidasSuperstar¬†#WeGaveTheWorldAnOriginal,IMAGE,2023-09-18 9:00,55482,0.09,0.1612,168,-0.74,55314,0.1,,1681853,1850038
adidas,https://www.instagram.com/adidasoriginals,https://www.instagram.com/reel/Cp0LzPloXYZ/,If the adidas Stan Smith were boots... ?ë¢,reel,2023-03-15 12:00,54962,0.08,0.15997,626,-0.04,54336,0.08,,556762,612438
adidas,https://www.instagram.com/adidasoriginals,https://www.instagram.com/p/CyYxRODr6l0/,Coming 2024.,CAROUSEL_ALBUM,2023-10-14 13:07,50979,0,0.14812,579,-0.11,50400,0,,462268,508495
adidas,https://www.instagram.com/adidasoriginals,https://www.instagram.com/p/CpftI1YpJb3/,DISCOVER YOUR PARK¬†Shout out to this amazing group for showing us how theyre styling the¬†#PARKTRAIL¬†collection¬†Last chance to shop Park Trail ?ì¬†link in bio. Product availability varies by location.¬†#adidasxIVYPARK bebykaylee authentically.b boybratzdoll whoworewhatmini,CAROUSEL_ALBUM,2023-03-07 12:03,47293,-0.06,0.13765,292,-0.55,47001,-0.06,,452370,497607
adidas,https://www.instagram.com/adidasoriginals,https://www.instagram.com/p/CrtY1ctJ3g2/,pharrell and phriends (and Sambas). somethinginthewater 2023.,CAROUSEL_ALBUM,2023-05-01 13:38,47206,-0.07,0.13722,451,-0.31,46755,-0.06,,414736,456210
adidas,https://www.instagram.com/adidasoriginals,https://www.instagram.com/p/Cs0c_LhrWN6/,Its giving 70s and were here for it.¬†?™©?ã‚Äãadicolor¬†70s available now on¬†adidas.com/adicolor. Link in bio.,CAROUSEL_ALBUM,2023-05-29 4:00,45725,-0.09,0.13292,402,-0.38,45323,-0.09,,394530,433983
adidas,https://www.instagram.com/adidasoriginals,https://www.instagram.com/p/CyToOjYr_mS/,The Blackout.Available now in adidas stores online at adidas.com/ivypark and in select partner stores globally.#IVYPARKNOIR #adidasxIVYPARK,CAROUSEL_ALBUM,2023-10-12 13:12,45122,-0.11,0.1311,653,0,44469,-0.11,,436700,480369
adidas,https://www.instagram.com/adidasoriginals,https://www.instagram.com/p/CrgVr7CL01J/,Introducing humanrace Samba Colors by pharrell.Spanning across a spectrum of colorways this collection was born out of Pharrell?ôs desire to celebrate the craftsmanship and heritage of the iconic Samba while instilling his appreciation for high-quality materials and color into every detail. The first release features the Red Pink Yellow Orange and Lilac colorways. The Charcoal White and Terracotta colorways to be released at a later date. Pre-launching exclusively for Pharrell?ôs Virginia Beach community at somethinginthewater and globally May 6th via the CONFIRMED app Humanrace.com Extra Butter New York (LES) and Offspring London.¬†¬†Head to CONFIRMED to learn more ??link in bio. #adidasPharrellWilliams,CAROUSEL_ALBUM,2023-04-26 12:00,44570,-0.12,0.12956,239,-0.63,44331,-0.11,,422535,464788
adidas,https://www.instagram.com/adidasoriginals,https://www.instagram.com/reel/CrbNVm0gZEI/,La inspiraci√≥n detr√°s de Bad Bunny Campus Wild Moss.¬†El Director de Dise√±o de adidas rafa_mayorga se sienta con el Director Creativo de badbunnypr janthonyoliveras para hablar sobre el trabajo que se llev√≥ a cabo para dar vida a esta ultima colaboraci√≥n.¬†¬†La rifa ya est√° abierta en CONFIRMED - enlace en bio. #adidasxbadbunny,reel,2023-04-24 12:15,44513,-0.12,0.12939,293,-0.55,44220,-0.11,,428580,471438
adidas,https://www.instagram.com/adidasoriginals,https://www.instagram.com/p/CxH9-USIRfH/,Fresh perspectives on #adidasSamba.¬†#WeGaveTheWorldAnOriginal,CAROUSEL_ALBUM,2023-09-13 4:00,43210,-0.14,0.12555,1507,1.29,41703,-0.16,,2346747,2581422
