Profile,Profile Link,Post Link,Text,Date,Type,Video Length (seconds),Engagement,Engagement Ratio vs Average,Likes,Likes Ratio vs Average,Shares,Shares Ratio vs Average,Saves,Comments,Comments Ratio vs Average,Views,Engagement Rate,Music Name, Music Author, Hashtags, Campaigns
gucci,https://www.tiktok.com/@m_.gucci,https://www.tiktok.com/@m_.gucci/video/7214085424564751622,ÿßÿ±ÿÆÿµ ?ÿ∑?ÿ± ?ÿ≥ÿ≠?ÿ± ÿ±?ÿ∂ÿß?? ? ?ÿß?? ?ÿπ?? 30 ÿ±?ÿ≠ ÿß?? ÿßÿ®?ÿßÿ¥ ÿß? ÿ™ÿ¨?? ??ÿ®?ÿ™ ?ÿß???  #ÿ∑ÿπÿß? #ÿß?ÿπÿ±ÿß? #?ÿ∑ÿπ? ,2023-03-24 8:15,video,49,132141,0.23,120500,1.14,1430,1.32,7329,2882,2.86,3500000,3.77546,Dreamland ?øÂà©,,ÿ∑ÿπÿß? ÿß?ÿπÿ±ÿß? ?ÿ∑ÿπ?,
gucci,https://www.tiktok.com/@gucci,http://tiktok.com/@Gucci/video/7234373099221716251,#GucciCruise24 makes its debut,2023-05-18 0:22,video,15,128624,0.19,128465,1.22,395,0.36,159,228,0.22,9102028,1.41314,suono originale Gucci,,guccicruise24,
gucci,https://www.tiktok.com/@gucci,http://tiktok.com/@Gucci/video/7230752092724481306,Escape to your #GucciSummerStories,2023-05-08 6:11,video,60,125094,0.16,124822,1.18,1171,1.08,272,189,0.18,29275554,0.4273,suono originale Gucci,,guccisummerstories,
gucci,https://www.tiktok.com/@gucci,http://tiktok.com/@Gucci/video/7282311206763810080,Feeling the rush #GucciAncora @Troye Sivan @ameliadimz ,2023-09-24 4:46,video,52,120786,0.12,118570,1.12,1410,1.31,2216,177,0.17,833969,14.48327,suono originale Gucci,,gucciancora,
gucci,https://www.tiktok.com/@gucci,http://tiktok.com/@Gucci/video/7327958928984198433,#DariaWerbowy for #GucciHighJewelry shot by #DavidSims,2024-01-25 4:03,video,16,117000,0.09,114854,1.09,786,0.73,2146,182,0.18,33177603,0.35265,,,dariawerbowy guccihighjewelry davidsims,
gucci,https://www.tiktok.com/@gucci,http://tiktok.com/@Gucci/video/7233800319585635611,Inspiring wonder since 1395 Gyeongbokung Palace is one of Seouls most iconic locations. #GucciCruise24 ,2023-05-16 11:19,video,25,112574,0.04,112165,1.06,1298,1.2,409,495,0.49,20517739,0.54867,suono originale Gucci,,guccicruise24,
gucci,https://www.tiktok.com/@gucci,http://tiktok.com/@Gucci/video/7217469114170756357,Twisting together heritage codes. #adidasxGucci #Gucci ,2023-04-02 11:06,video,9,110584,0.03,110194,1.04,1178,1.09,390,1591,1.58,10776579,1.02615,suono originale Gucci,,adidasxgucci gucci,
gucci,https://www.tiktok.com/@gucci,http://tiktok.com/@Gucci/video/7235389239985278235,Pre-show energy at #GucciCruise24,2023-05-20 18:05,video,14,110229,0.02,110090,1.04,687,0.63,139,423,0.42,5704191,1.93242,suono originale Gucci,,guccicruise24,
gucci,https://www.tiktok.com/@gucci,http://tiktok.com/@Gucci/video/7216623019987340550,A dynamic duo. #adidasxGucci #Gucci ,2023-03-31 4:23,video,9,106018,-0.01,105720,1,1747,1.62,298,1150,1.14,19443108,0.54527,suono originale Gucci,,adidasxgucci gucci,
gucci,https://www.tiktok.com/@gucci,http://tiktok.com/@Gucci/video/7214549880587504902,Julia Garner for #GucciHorsebit1955. #Gucci ,2023-03-25 14:18,video,15,103881,-0.03,103305,0.98,1726,1.6,576,1312,1.3,14329794,0.72493,suono originale Gucci,,guccihorsebit1955 gucci,
gucci,https://www.tiktok.com/@gucci,http://tiktok.com/@Gucci/video/7339841875865537825,A season of bold contrasts #GucciFW24 #MFW,2024-02-26 4:35,video,28,101884,-0.05,101653,0.96,506,0.47,231,321,0.31,16338378,0.62359,,,guccifw24 mfw,
