INDUSTRY,Size,PLATFORM,PROFILE,FOLLOWERS,FOLLOWERS EVOLUTION,ENGAGEMENT,POSTS,AVERAGE ENG/ POST,AVERAGE ENG RATE/ POST,ENGAGEMENT RATE/ PROFILE,REACH,VIEWS
FMCG,Big,Instagram,Coca-Cola,"3,035,732","10,214 0.34%",90757,16,5672 /post,0.19%,2.99%,"676,734",
FMCG,Big,YouTube,Coca-Cola,"4,290,000","30,000 0.7%",118177,34,3476 /post,0.08%,2.76%,,89.88M
FMCG,Big,Facebook,Dove,"27,019,239","21,681 0.08%",0,0,0 /post,0.00%,0.00%,0,
FMCG,Big,Instagram,Dove,"915,776","15,283 1.7%",63033,39,1616 /post,0.18%,6.88%,"3,364,442",
FMCG,Big,TikTok,Dove,"179,177","5,238 3.01%",13977,38,367.8 /post,0.21%,7.80%,,
FMCG,Big,Twitter,Dove,"181,324",144 0.08%,4921,8,615.1 /post,0.34%,2.71%,,
FMCG,Big,Facebook,Heineken,"23,932,425",0 0%,896,5,179.2 /post,0.00%,0.00%,"2,878",
FMCG,Big,Instagram,Heineken,"789,651",565 0.07%,54026,15,3602 /post,0.46%,6.84%,"497,420",
FMCG,Big,Twitter,Heineken,"171,320",0 0%,0,0,0 /post,0%,0%,,
FMCG,Big,YouTube,Heineken,"647,000",0 0%,137,2,68.5 /post,0.01%,0.02%,,8344
FMCG,Big,Facebook,Nutella,"30,482,825","-19,325 -0.06%",20219,12,1685 /post,0.01%,0.07%,"47,719",
FMCG,Big,Instagram,Nutella,"1,600,165",-559.0003,20373,11,1852 /post,0.12%,1.27%,"221,628",
FMCG,Big,YouTube,Nutella,"21,600",0 0%,0,0,0 /post,0%,0%,,0
FMCG,Big,Facebook,Oral-B,"7,721,665",0 0%,0,0,0 /post,0.00%,0.00%,0,
FMCG,Big,Instagram,Oral-B,"198,605",54 0.03%,"1,260",5,252 /post,0.13%,0.63%,"16,056",
FMCG,Big,YouTube,Oral-B,"17,600",0 0%,0,0,0 /post,0%,0%,,0
FMCG,Big,Facebook,Starbucks,"36,298,129",36298129%,56503,32,1766 /post,0.01%,0.16%,"319,894",
FMCG,Big,Instagram,Starbucks,"17,877,104","-32,303 -0.18%",1059536,44,24.1K /post,0.14%,5.93%,"19,171,836",
FMCG,Big,TikTok,Starbucks,"2,104,339","3,304 0.16%",9293,17,546.6 /post,0.03%,0.44%,,
FMCG,Big,Twitter,Starbucks,"10,874,881","-6,782 -0.06%",0,0,0 /post,0.00%,0%,,
FMCG,Big,YouTube,Starbucks,"406,000","1,000 0.25%",1841,21,87.7 /post,0.02%,0.45%,,38.15M
FMCG,Small,Facebook,BURST Oral Care,"57,901",0 0%,84,13,6.5 /post,0.01%,0.15%,"1,370",
FMCG,Small,Instagram,BURST Oral Care,"121,234",-186.0015,"1,448",29,49.9 /post,0.04%,1.19%,"21,210",
FMCG,Small,TikTok,BURST Oral Care,"12,363",0 0%,544,19,28.6 /post,0.23%,4.40%,,
FMCG,Small,YouTube,BURST Oral Care,"55,800",0 0%,595,29,20.5 /post,0.04%,1.07%,,25.32K
FMCG,Small,Facebook,Cayman Jack (margarita),"111,566",0 0%,518,4,129.5 /post,0.12%,0.46%,646,
FMCG,Small,Instagram,Cayman Jack (margarita),"18,720",0 0%,3010,5,602 /post,3.22%,16.08%,"16,892",
FMCG,Small,YouTube,Cayman Jack (margarita),766,0 0%,0,0,0 /post,0%,0%,,0
FMCG,Small,Facebook,Copper Cow Coffee,"13,530",0 0%,109,11,9.9 /post,0.07%,0.81%,636,
FMCG,Small,Instagram,Copper Cow Coffee,"94,732",0 0%,"3,363",21,160.1 /post,0.17%,3.55%,"34,504",
FMCG,Small,YouTube,Copper Cow Coffee,113,0 0%,0,0,0 /post,0%,0%,,0
FMCG,Small,Facebook,Crav'n Flavor,"10,714",0 0%,173,14,12.4 /post,0.12%,1.62%,565,
FMCG,Small,Instagram,Crav'n Flavor,780,0 0%,206,14,14.7 /post,1.89%,26.41%,"2,652",
FMCG,Small,YouTube,Crav'n Flavor,21,0 0%,0,0,0 /post,0%,0%,,
FMCG,Small,Facebook,JUST Egg,"337,005",0 0%,"4,795",10,479.5 /post,0.14%,1.42%,"23,857",
FMCG,Small,Instagram,JUST Egg,"223,102",-145.0006,"17,372",10,1737 /post,0.78%,7.79%,"157,260",
FMCG,Small,YouTube,JUST Egg,"10,300",0 0%,276,6,46 /post,0.45%,2.68%,,5022
FMCG,Small,Facebook,Pretzilla¢ç Soft Pretzel Bread,"32,967",0 0%,1551,11,141 /post,0.43%,4.71%,"6,399",
FMCG,Small,Instagram,Pretzilla¢ç Soft Pretzel Bread,"13,279",-27.002,375,11,34.1 /post,0.26%,2.82%,"5,015",
FMCG,Small,Facebook,Rule Breaker Snacks,"5,421",0 0%,36,19,1.9 /post,0.04%,0.66%,138,
FMCG,Small,Instagram,Rule Breaker Snacks,"21,199",0 0%,277,18,15.4 /post,0.07%,1.31%,"3,406",
FMCG,Small,YouTube,Rule Breaker Snacks,30,0 0%,0,0,0 /post,0%,0%,,0
Tech,Big,Facebook,Airbnb,"16,153,090","21,867 0.14%",0,0,0,0%,0%,0,
Tech,Big,Instagram,Airbnb,"5,606,769","25,421 0.46%",1402,9,155.8 /post,0.00%,0.03%,"11,691",
Tech,Big,TikTok,Airbnb,"272,983","5,445 2.04%",0,0,0 /post,0%,0%,,
Tech,Big,Twitter,Airbnb,"879,474",-412.0005,0,0,0 /post,0%,0%,,
Tech,Big,YouTube,Airbnb,"646,000","3,000 0.47%",29,1,29 /post,0.00%,0.00%,,2846
Tech,Big,Facebook,Amazon,"30,172,041","-9,350 -0.03%",32172,20,1609 /post,0.01%,0.11%,"194,306",
Tech,Big,Instagram,Amazon,"4,701,931","46,846 1.01%",40174,24,1674 /post,0.04%,0.85%,"353,994",
Tech,Big,LinkedIn,Amazon,"30,432,967",0 0%,46911,14,3351 /post,0.01%,0.15%,,
Tech,Big,Twitter,Amazon,"6,100,022","51,546 0.85%",5856,23,254.6 /post,0.00%,0.10%,,
Tech,Big,Facebook,Apple,"13,809,876","-4,171 -0.03%",0,0,0 /post,0%,0%,0,
Tech,Big,Instagram,Apple,"32,305,122","154,494 0.48%",1567949,14,112.0K /post,0.35%,4.85%,"7,935,725",
Tech,Big,TikTok,Apple,"3,735,283","441,859 13.42%",815119,1,815.1K /post,21.82%,21.82%,,
Tech,Big,Twitter,Apple,"9,785,568","20,080 0.21%",0,0,0 /post,0%,0%,,
Tech,Big,YouTube,Apple,"18,800,000","100,000 0.53%",142304,6,23.7K /post,0.13%,0.76%,,49.79M
Tech,Big,Facebook,Netflix,"91,374,970","274,545 0.3%",0,0,0 /post,0%,0%,0,
Tech,Big,Instagram,Netflix,"33,095,657",564 0%,19966723,140,142.6K /post,0.43%,60.33%,"51,227,102",
Tech,Big,LinkedIn,Netflix,"10,214,570","57,025 0.56%",3842,2,1921 /post,0.02%,0.04%,,
Tech,Big,TikTok,Netflix,"37,447,117","449,796 1.22%",19125149,227,84.3K /post,0.23%,51.07%,,
Tech,Big,YouTube,Netflix,"27,800,000","100,000 0.36%",1200547,99,12.1K /post,0.04%,4.32%,,51.86M
Tech,Big,Facebook,Spotify,"23,293,459","-20,339 -0.09%",0,0,0 /post,0%,0%,0,
Tech,Big,Instagram,Spotify,"11,145,398","92,779 0.84%",4988093,82,60.8K /post,0.55%,44.76%,"14,421,790",
Tech,Big,TikTok,Spotify,"2,647,008","67,529 2.62%",334727,35,9564 /post,0.36%,12.65%,,
Tech,Big,Twitter,Spotify,"14,493,665","441,316 3.14%",225326,88,2561 /post,0.02%,1.56%,,
Tech,Big,YouTube,Spotify,"1,670,000",0 0%,37249,30,1242 /post,0.07%,2.23%,,850.86K
Tech,Big,Facebook,Uber,"21,901,726","-2,197 -0.01%",0,0,0 /post,0%,0%,0,
Tech,Big,Instagram,Uber,"1,589,574","6,562 0.41%",31782,22,1445 /post,0.09%,2.00%,"277,088",
Tech,Big,TikTok,Uber,"1,034,513","37,957 3.81%",118843,14,8489 /post,0.82%,11.49%,,
Tech,Big,Twitter,Uber,"1,088,409",943 0.09%,1830,29,63.1 /post,0.01%,0.17%,,
Tech,Big,YouTube,Uber,"886,000","1,000 0.11%",77,14,5.5 /post,0.00%,0.01%,,3.36M
Tech,Small,Facebook,Asana,"286,529",0 0%,28,1,28 /post,0.01%,0.01%,126,
Tech,Small,Instagram,Asana,"70,354",369 0.53%,728,9,80.9 /post,0.12%,1.04%,"9,806",
Tech,Small,TikTok,Asana,"1,432",0 0%,0,0,0 /post,0%,0%,,
Tech,Small,Twitter,Asana,"128,365",0 0%,12,1,12 /post,0.01%,0.01%,,
Tech,Small,YouTube,Asana,"44,000",0 0%,32,2,16 /post,0.04%,0.07%,,3688
Tech,Small,Facebook,Blinkist,"541,669",0 0%,2909,7,415.6 /post,0.08%,0.54%,"26,131",
Tech,Small,Instagram,Blinkist,"446,200",0 0%,1894,13,145.7 /post,0.03%,0.42%,"18,530",
Tech,Small,Twitter,Blinkist,"115,773",0 0%,55,9,6.1 /post,0.01%,0.05%,,
Tech,Small,YouTube,Blinkist,"16,300",0 0%,0,0,0 /post,0%,0%,,
Tech,Small,Facebook,Calendly,"9,678",59 0.61%,0,0,0 /post,0%,0%,0,
Tech,Small,Instagram,Calendly,"17,739",0 0%,559,9,62.1 /post,0.35%,3.15%,"6,856",
Tech,Small,LinkedIn,Calendly,"93,969",0 0%,776,14,55.4 /post,0.06%,0.83%,,
Tech,Small,Twitter,Calendly,"21,434",0 0%,52,11,4.7 /post,0.02%,0.24%,,
Tech,Small,YouTube,Calendly,"4,210",0 0%,3,1,3 /post,0.07%,0.07%,,238
Tech,Small,Facebook,Instacart,"401,549",290 0.07%,1890,15,126 /post,0.03%,0.47%,"8,135",
Tech,Small,Instagram,Instacart,"170,831",35 0.02%,2221,20,111.0 /post,0.07%,1.30%,"28,517",
Tech,Small,TikTok,Instacart,"26,826",0 0%,135,9,15 /post,0.06%,0.50%,,
Tech,Small,Twitter,Instacart,"63,580",0 0%,434,42,10.3 /post,0.02%,0.68%,,
Tech,Small,YouTube,Instacart,"33,600",0 0%,0,0,0 /post,0%,0%,,0
Tech,Small,Facebook,Pathwright,727,0 0%,0,0,0 /post,0%,0%,0,
Tech,Small,Instagram,Pathwright,392,0 0%,0,0,0 /post,0%,0%,0,
Tech,Small,Twitter,Pathwright,"1,071",0 0%,3,2,1.5 /post,0.14%,0.28%,,
Tech,Small,YouTube,Pathwright,93,0 0%,0,0,0 /post,0%,0%,,0
Tech,Small,Facebook,Smartsheet,"32,048",0 0%,179,20,8.9 /post,0.03%,0.56%,736,
Tech,Small,TikTok,Smartsheet,"3,710",0 0%,1,1,1 /post,0.03%,0.03%,,
Tech,Small,Twitter,Smartsheet,"27,414",0 0%,58,26,2.2 /post,0.01%,0.21%,,
