INDUSTRY,PLATFORM,PROFILE,FOLLOWERS,FOLLOWERS EVOLUTION,ENGAGEMENT,POSTS,AVERAGE ENG/ POST,AVERAGE ENG RATE/ POST,ENGAGEMENT RATE/ PROFILE,REACH,VIEWS
FMCG,youtube,heineken,"647,000",0 0%,137,2,68.5 /post,0%,0.02%,,8344
FMCG,youtube,starbucks,"406,000","1,000 0.25%",1841,21,87.7 /post,0%,0.45%,,38.15M
FMCG,youtube,burstoralcare,"55,800",0 0%,595,29,20.5 /post,0%,1.07%,,25.32K
FMCG,youtube,nutella,"21,600",0 0%,0,0,0 /post,0%,0.00%,,0
FMCG,youtube,oralb,"17,600",0 0%,0,0,0 /post,0%,0.00%,,0
FMCG,youtube,justegg,"10,300",0 0%,276,6,46 /post,0%,2.68%,,5022
FMCG,youtube,caymanjack,766,0 0%,0,0,0 /post,0%,0.00%,,0
FMCG,youtube,coppercowcoffee,113,0 0%,0,0,0 /post,0%,0.00%,,0
FMCG,youtube,rulebreakersnacks,30,0 0%,0,0,0 /post,0%,0.00%,,0
FMCG,youtube,cravnflavor,21,0 0%,0,0,0 /post,0%,0.00%,,
FMCG,twitter,starbucks,"10,874,881","-6,782 -0.06%",0,0,0 /post,0%,0.00%,,
FMCG,twitter,dove,"181,324",144 0.08%,4921,8,615.1 /post,0%,2.71%,,
FMCG,twitter,heineken,"171,320",0 0%,0,0,0 /post,0%,0.00%,,
FMCG,tiktok,starbucks,"2,104,339","3,304 0.16%",9293,17,546.6 /post,0%,0.44%,,
FMCG,tiktok,dove,"179,177","5,238 3.01%",13977,38,367.8 /post,0%,7.80%,,
FMCG,tiktok,burstoralcare,"12,363",0 0%,544,19,28.6 /post,0%,4.40%,,
