Profile,Type,sqrt_engagement_zscore,Time_Frame,Treatment,Followers,Month,num_posts
lenskart,CAROUSEL_ALBUM,0.6604120028972721,0.0,0.0,1045041,5,857
lenskart,CAROUSEL_ALBUM,0.9372936083386758,0.0,0.0,1045041,5,857
lenskart,IMAGE,0.2872509684751522,0.0,0.0,1045041,5,857
lenskart,reel,-0.6801302243667425,0.0,0.0,1045041,5,857
lenskart,reel,-0.6515692086248035,0.0,0.0,1045041,5,857
lenskart,reel,-0.60225742728101,0.0,0.0,1045041,5,857
lenskart,reel,-0.6002014176140442,0.0,0.0,1045041,5,857
lenskart,reel,-0.621416113049748,0.0,0.0,1045041,5,857
lenskart,reel,-0.6829034172656593,0.0,0.0,1045041,5,857
lenskart,CAROUSEL_ALBUM,-0.012039097135401822,0.0,0.0,1045041,6,857
lenskart,reel,-0.08525907299217621,0.0,0.0,1045041,6,857
lenskart,reel,-0.06843835057138363,0.0,0.0,1045041,6,857
lenskart,reel,-0.10006655562204965,0.0,0.0,1045041,6,857
lenskart,CAROUSEL_ALBUM,0.2925630655848304,0.0,0.0,1045041,6,857
lenskart,reel,-0.6829034172656593,0.0,0.0,1045041,6,857
lenskart,reel,-0.20337487296477572,0.0,0.0,1045041,6,857
lenskart,reel,0.43707340802796885,0.0,0.0,1045041,6,857
lenskart,CAROUSEL_ALBUM,-0.09146121997478143,0.0,0.0,1045041,6,857
lenskart,reel,-0.6192253848757779,0.0,0.0,1045041,6,857
lenskart,reel,0.6242670453213417,0.0,0.0,1045041,6,857
lenskart,CAROUSEL_ALBUM,-0.1562782183974114,0.0,0.0,1045041,6,857
lenskart,CAROUSEL_ALBUM,0.15362926818873396,0.0,0.0,1045041,6,857
lenskart,reel,-0.1346194354072188,0.0,0.0,1045041,6,857
lenskart,reel,-0.6127495129341985,0.0,0.0,1045041,6,857
lenskart,reel,-0.6801302243667425,0.0,0.0,1045041,6,857
lenskart,CAROUSEL_ALBUM,-0.07757123856022465,0.0,0.0,1045041,6,857
lenskart,reel,-0.07757123856022465,0.0,0.0,1045041,6,857
lenskart,CAROUSEL_ALBUM,-0.09379915040667454,0.0,0.0,1045041,6,857
lenskart,reel,-0.6641426374513046,0.0,0.0,1045041,6,857
lenskart,reel,-0.7003052442137929,0.0,0.0,1045041,6,857
lenskart,reel,-0.13052312846482322,0.0,0.0,1045041,6,857
lenskart,reel,-0.694349762540235,0.0,0.0,1045041,6,857
lenskart,reel,-0.7226210381300658,0.0,0.0,1045041,6,857
lenskart,CAROUSEL_ALBUM,0.24663397676354737,0.0,0.0,1045041,6,857
lenskart,reel,0.41752862748309955,0.0,0.0,1045041,6,857
lenskart,CAROUSEL_ALBUM,0.09383217007240191,0.0,0.0,1045041,6,857
lenskart,reel,1.7651648466637002,0.0,0.0,1045041,6,857
lenskart,CAROUSEL_ALBUM,1.14857669684192,0.0,0.0,1045041,6,857
lenskart,reel,-0.6667347595690445,0.0,0.0,1045041,6,857
lenskart,reel,0.08746405251159133,0.0,0.0,1045041,6,857
lenskart,reel,0.26032938583218534,1.0,0.0,1045041,6,857
lenskart,reel,-0.694349762540235,1.0,0.0,1045041,6,857
lenskart,reel,0.08490541186933515,1.0,0.0,1045041,6,857
lenskart,reel,0.11145205785703477,1.0,0.0,1045041,6,857
lenskart,reel,0.2614181114398829,1.0,0.0,1045041,6,857
lenskart,CAROUSEL_ALBUM,0.9070118422547857,1.0,0.0,1045041,6,857
lenskart,reel,0.09826596136427068,1.0,0.0,1045041,6,857
lenskart,reel,-0.6303495645796047,1.0,0.0,1045041,6,857
lenskart,reel,-0.70643345592533,1.0,0.0,1045041,6,857
lenskart,CAROUSEL_ALBUM,0.5501704183648474,1.0,0.0,1045041,6,857
lenskart,reel,0.13610946332852522,1.0,0.0,1045041,6,857
lenskart,reel,0.09065316860279456,1.0,0.0,1045041,6,857
lenskart,reel,-0.09379915040667454,1.0,0.0,1045041,6,857
lenskart,reel,0.33424476394127445,1.0,0.0,1045041,6,857
lenskart,reel,-0.70643345592533,1.0,0.0,1045041,6,857
lenskart,reel,-0.6349244046472028,1.0,0.0,1045041,6,857
lenskart,reel,-0.7127503600814931,1.0,0.0,1045041,6,857
lenskart,reel,-0.14039081322400992,1.0,0.0,1045041,6,857
lenskart,reel,0.09636815303627087,1.0,0.0,1045041,6,857
lenskart,reel,0.04035700750057775,1.0,0.0,1045041,6,857
lenskart,IMAGE,0.28511952777335986,1.0,0.0,1045041,6,857
lenskart,reel,1.0657402503121336,1.0,0.0,1045041,6,857
lenskart,CAROUSEL_ALBUM,0.5143644787340613,1.0,0.0,1045041,6,857
lenskart,reel,0.21535250792895683,1.0,0.0,1045041,6,857
lenskart,reel,0.12693153812060592,1.0,0.0,1045041,6,857
lenskart,CAROUSEL_ALBUM,0.034978204650887704,1.0,0.0,1045041,6,857
lenskart,reel,-0.01916228428502998,1.0,0.0,1045041,6,857
lenskart,reel,-0.6395761489443793,1.0,0.0,1045041,6,857
lenskart,CAROUSEL_ALBUM,0.04770362317566277,1.0,0.0,1045041,6,857
lenskart,reel,0.08426472463500133,1.0,0.0,1045041,6,857
lenskart,reel,-0.6002014176140442,1.0,0.0,1045041,6,857
lenskart,reel,-0.09223978897620837,1.0,0.0,1045041,6,857
lenskart,CAROUSEL_ALBUM,-0.23094616625924108,1.0,0.0,1045041,6,857
lenskart,reel,-0.2262739267161224,1.0,0.0,1045041,6,857
lenskart,CAROUSEL_ALBUM,-0.24229258274689353,1.0,0.0,1045041,6,857
lenskart,CAROUSEL_ALBUM,-5.740643023251635e-05,1.0,0.0,1045041,6,857
lenskart,reel,-0.66157737887775,1.0,0.0,1045041,6,857
lenskart,reel,0.5645090521021285,1.0,0.0,1045041,6,857
lenskart,CAROUSEL_ALBUM,-0.032855387456792506,1.0,0.0,1045041,6,857
lenskart,reel,-0.18119329535350184,1.0,0.0,1045041,6,857
skims,reel,1.0028404034518055,0.0,0.0,5909967,8,1405
skims,reel,-0.15453512051979232,0.0,0.0,5909967,8,1405
skims,reel,-0.2745020072593519,0.0,0.0,5909967,8,1405
skims,reel,-0.5857678152122521,0.0,0.0,5909967,8,1405
skims,reel,0.20094580555289202,0.0,0.0,5909967,8,1405
skims,reel,0.10955165124922651,0.0,0.0,5909967,8,1405
skims,CAROUSEL_ALBUM,-0.6775149857878111,0.0,0.0,5909967,8,1405
skims,reel,-0.6385564981141543,0.0,0.0,5909967,8,1405
skims,reel,-0.3683333302358127,0.0,0.0,5909967,8,1405
skims,IMAGE,-0.7564367502771081,0.0,0.0,5909967,8,1405
skims,reel,-0.6775149857878111,0.0,0.0,5909967,8,1405
skims,reel,-0.42532183849339705,0.0,0.0,5909967,8,1405
skims,reel,-0.45927144703267997,0.0,0.0,5909967,8,1405
skims,IMAGE,-0.8030979905387977,0.0,0.0,5909967,8,1405
skims,reel,-0.18717354384812793,0.0,0.0,5909967,8,1405
skims,reel,-0.49019970599798607,0.0,0.0,5909967,8,1405
skims,CAROUSEL_ALBUM,0.051525194237365894,0.0,0.0,5909967,8,1405
skims,reel,0.5145740989735069,0.0,0.0,5909967,8,1405
skims,CAROUSEL_ALBUM,-0.6319300895417359,0.0,0.0,5909967,8,1405
skims,CAROUSEL_ALBUM,0.21728520603065615,0.0,0.0,5909967,8,1405
skims,CAROUSEL_ALBUM,-0.5982134796737666,0.0,0.0,5909967,8,1405
skims,reel,0.17895924861074564,0.0,0.0,5909967,8,1405
skims,CAROUSEL_ALBUM,-0.6339129980847601,0.0,0.0,5909967,8,1405
skims,CAROUSEL_ALBUM,-0.475235890604199,0.0,0.0,5909967,8,1405
skims,CAROUSEL_ALBUM,-0.4450908905283869,0.0,0.0,5909967,8,1405
skims,CAROUSEL_ALBUM,-0.8426575518568455,0.0,0.0,5909967,8,1405
skims,CAROUSEL_ALBUM,-0.7179246856755328,0.0,0.0,5909967,8,1405
skims,CAROUSEL_ALBUM,0.42382969323391595,0.0,0.0,5909967,8,1405
skims,reel,0.05512255173953819,0.0,0.0,5909967,8,1405
skims,CAROUSEL_ALBUM,0.13105962985906255,0.0,0.0,5909967,8,1405
skims,reel,-0.4348906708440682,0.0,0.0,5909967,8,1405
skims,IMAGE,-0.42964480064119986,0.0,0.0,5909967,8,1405
skims,reel,-0.3102861486803462,0.0,0.0,5909967,8,1405
skims,CAROUSEL_ALBUM,-0.5238262849939855,0.0,0.0,5909967,8,1405
skims,CAROUSEL_ALBUM,-0.20089912198235613,0.0,0.0,5909967,8,1405
skims,reel,0.3700696625636505,0.0,0.0,5909967,8,1405
skims,CAROUSEL_ALBUM,-0.42919371649602756,0.0,0.0,5909967,8,1405
skims,reel,-0.2383806674326176,0.0,0.0,5909967,8,1405
skims,CAROUSEL_ALBUM,-0.7705575869032926,0.0,0.0,5909967,8,1405
skims,CAROUSEL_ALBUM,0.025472190885048766,0.0,0.0,5909967,8,1405
skims,reel,-0.5001653208114282,1.0,0.0,5909967,8,1405
skims,CAROUSEL_ALBUM,-0.8044506736213829,1.0,0.0,5909967,8,1405
skims,IMAGE,-0.45400147893364456,1.0,0.0,5909967,8,1405
skims,reel,0.839119826713357,1.0,0.0,5909967,8,1405
skims,CAROUSEL_ALBUM,-0.6968299928864611,1.0,0.0,5909967,8,1405
skims,reel,0.09035484822069499,1.0,0.0,5909967,8,1405
skims,IMAGE,-0.5997008613893144,1.0,0.0,5909967,8,1405
skims,CAROUSEL_ALBUM,-0.3818443032908143,1.0,0.0,5909967,8,1405
skims,reel,0.037181910442099744,1.0,0.0,5909967,8,1405
skims,IMAGE,-0.8488189915202414,1.0,0.0,5909967,8,1405
skims,CAROUSEL_ALBUM,-0.7367052584139577,1.0,0.0,5909967,8,1405
skims,CAROUSEL_ALBUM,-0.32489161425144486,1.0,0.0,5909967,8,1405
skims,reel,0.15734218068842076,1.0,0.0,5909967,8,1405
skims,CAROUSEL_ALBUM,-0.7727626849271652,1.0,0.0,5909967,8,1405
skims,reel,-0.22259061032997451,1.0,0.0,5909967,8,1405
skims,IMAGE,-0.9187814490305355,1.0,0.0,5909967,8,1405
skims,CAROUSEL_ALBUM,-0.5520865214421374,1.0,0.0,5909967,8,1405
skims,CAROUSEL_ALBUM,-0.7961029844452684,1.0,0.0,5909967,8,1405
skims,CAROUSEL_ALBUM,-0.8260174826162147,1.0,0.0,5909967,8,1405
skims,CAROUSEL_ALBUM,0.606529866851338,1.0,0.0,5909967,8,1405
skims,CAROUSEL_ALBUM,0.029192846386423887,1.0,0.0,5909967,8,1405
skims,reel,0.1779638745060062,1.0,0.0,5909967,8,1405
skims,CAROUSEL_ALBUM,-0.35709185615709865,1.0,0.0,5909967,8,1405
skims,reel,-0.4477473556957221,1.0,0.0,5909967,8,1405
skims,CAROUSEL_ALBUM,-0.5712062917809442,1.0,0.0,5909967,8,1405
skims,reel,-0.6466839260772058,1.0,0.0,5909967,8,1405
skims,IMAGE,-0.699319599502419,1.0,0.0,5909967,8,1405
skims,IMAGE,-0.6122230215570867,1.0,0.0,5909967,8,1405
skims,CAROUSEL_ALBUM,-0.7032465678285371,1.0,0.0,5909967,8,1405
skims,reel,-0.3390046335346701,1.0,0.0,5909967,8,1405
skims,CAROUSEL_ALBUM,-0.2164329762081851,1.0,0.0,5909967,8,1405
skims,IMAGE,-0.8585282439760978,1.0,0.0,5909967,8,1405
skims,CAROUSEL_ALBUM,-0.6633891804594465,1.0,0.0,5909967,8,1405
skims,reel,-0.09540149861519343,1.0,0.0,5909967,8,1405
skims,CAROUSEL_ALBUM,-0.6992008822752489,1.0,0.0,5909967,8,1405
skims,CAROUSEL_ALBUM,-0.6756646204819673,1.0,0.0,5909967,8,1405
skims,reel,-0.5825246525439274,1.0,0.0,5909967,9,1405
skims,reel,0.5590127539046092,1.0,0.0,5909967,9,1405
skims,reel,-0.5251074395669082,1.0,0.0,5909967,9,1405
skims,reel,1.8560314040402563,1.0,0.0,5909967,9,1405
skims,reel,1.1666604787300772,0.0,0.0,5909967,2,1405
skims,IMAGE,0.8391622098722867,0.0,0.0,5909967,2,1405
